GAME_DATE,TEAM_NAME,MATCHUP,WL,PTS,PLUS_MINUS
2025-01-12,New York Knicks,NYK vs. MIL,W,140,34.0
2025-01-12,Charlotte Hornets,CHA @ PHX,L,113,-7.0
2025-01-12,Cleveland Cavaliers,CLE vs. IND,L,93,-15.0
2025-01-12,Denver Nuggets,DEN @ DAL,W,112,11.0
2025-01-12,Oklahoma City Thunder,OKC @ WAS,W,136,41.0
2025-01-12,Washington Wizards,WAS vs. OKC,L,95,-41.0
2025-01-12,Boston Celtics,BOS vs. NOP,W,120,1.0
2025-01-12,Sacramento Kings,SAC @ CHI,W,124,5.0
2025-01-12,Milwaukee Bucks,MIL @ NYK,L,106,-34.0
2025-01-12,Utah Jazz,UTA vs. BKN,W,112,1.0
2025-01-12,Brooklyn Nets,BKN @ UTA,L,111,-1.0
2025-01-12,New Orleans Pelicans,NOP @ BOS,L,119,-1.0
2025-01-12,Indiana Pacers,IND @ CLE,W,108,15.0
2025-01-12,Chicago Bulls,CHI vs. SAC,L,119,-5.0
2025-01-12,Dallas Mavericks,DAL vs. DEN,L,101,-11.0
2025-01-12,Phoenix Suns,PHX vs. CHA,W,120,7.0
2025-01-11,Utah Jazz,UTA @ PHX,L,106,-8.0
2025-01-11,Portland Trail Blazers,POR vs. MIA,L,98,-21.0
2025-01-11,Phoenix Suns,PHX vs. UTA,W,114,8.0
2025-01-11,Toronto Raptors,TOR @ DET,L,114,-9.0
2025-01-11,Minnesota Timberwolves,MIN vs. MEM,L,125,-2.0
2025-01-11,Memphis Grizzlies,MEM @ MIN,W,127,2.0
2025-01-11,Detroit Pistons,DET vs. TOR,W,123,9.0
2025-01-11,Miami Heat,MIA @ POR,W,119,21.0
2025-01-10,Chicago Bulls,CHI vs. WAS,W,138,33.0
2025-01-10,Indiana Pacers,IND vs. GSW,W,108,12.0
2025-01-10,Boston Celtics,BOS vs. SAC,L,97,-17.0
2025-01-10,New Orleans Pelicans,NOP @ PHI,W,123,8.0
2025-01-10,Golden State Warriors,GSW @ IND,L,96,-12.0
2025-01-10,Philadelphia 76ers,PHI vs. NOP,L,115,-8.0
2025-01-10,Denver Nuggets,DEN vs. BKN,W,124,19.0
2025-01-10,Orlando Magic,ORL vs. MIL,L,106,-3.0
2025-01-10,New York Knicks,NYK vs. OKC,L,101,-25.0
2025-01-10,Milwaukee Bucks,MIL @ ORL,W,109,3.0
2025-01-10,Sacramento Kings,SAC @ BOS,W,114,17.0
2025-01-10,Brooklyn Nets,BKN @ DEN,L,105,-19.0
2025-01-10,Washington Wizards,WAS @ CHI,L,105,-33.0
2025-01-10,Oklahoma City Thunder,OKC @ NYK,W,126,25.0
2025-01-09,Atlanta Hawks,ATL @ PHX,L,115,-8.0
2025-01-09,Toronto Raptors,TOR @ CLE,L,126,-6.0
2025-01-09,Dallas Mavericks,DAL vs. POR,W,117,6.0
2025-01-09,Orlando Magic,ORL vs. MIN,L,89,-15.0
2025-01-09,Utah Jazz,UTA vs. MIA,L,92,-5.0
2025-01-09,Golden State Warriors,GSW @ DET,W,107,3.0
2025-01-09,Miami Heat,MIA @ UTA,W,97,5.0
2025-01-09,Portland Trail Blazers,POR @ DAL,L,111,-6.0
2025-01-09,Minnesota Timberwolves,MIN @ ORL,W,104,15.0
2025-01-09,Detroit Pistons,DET vs. GSW,L,104,-3.0
2025-01-09,Houston Rockets,HOU @ MEM,W,119,4.0
2025-01-09,Cleveland Cavaliers,CLE vs. TOR,W,132,6.0
2025-01-09,Memphis Grizzlies,MEM vs. HOU,L,115,-4.0
2025-01-09,Phoenix Suns,PHX vs. ATL,W,123,8.0
2025-01-08,LA Clippers,LAC @ DEN,L,103,-23.0
2025-01-08,Oklahoma City Thunder,OKC @ CLE,L,122,-7.0
2025-01-08,Chicago Bulls,CHI @ IND,L,113,-16.0
2025-01-08,Detroit Pistons,DET @ BKN,W,113,15.0
2025-01-08,Toronto Raptors,TOR @ NYK,L,98,-14.0
2025-01-08,Cleveland Cavaliers,CLE vs. OKC,W,129,7.0
2025-01-08,Washington Wizards,WAS @ PHI,L,103,-6.0
2025-01-08,Philadelphia 76ers,PHI vs. WAS,W,109,6.0
2025-01-08,Brooklyn Nets,BKN vs. DET,L,98,-15.0
2025-01-08,New Orleans Pelicans,NOP vs. POR,L,100,-19.0
2025-01-08,Indiana Pacers,IND vs. CHI,W,129,16.0
2025-01-08,Denver Nuggets,DEN vs. LAC,W,126,23.0
2025-01-08,San Antonio Spurs,SAS @ MIL,L,105,-16.0
2025-01-08,Milwaukee Bucks,MIL vs. SAS,W,121,16.0
2025-01-08,New York Knicks,NYK vs. TOR,W,112,14.0
2025-01-08,Portland Trail Blazers,POR @ NOP,W,119,19.0
2025-01-07,Atlanta Hawks,ATL @ UTA,W,124,3.0
2025-01-07,Minnesota Timberwolves,MIN @ NOP,W,104,7.0
2025-01-07,Houston Rockets,HOU @ WAS,W,135,23.0
2025-01-07,Phoenix Suns,PHX @ CHA,L,104,-11.0
2025-01-07,Boston Celtics,BOS @ DEN,W,118,12.0
2025-01-07,Golden State Warriors,GSW vs. MIA,L,98,-16.0
2025-01-07,Los Angeles Lakers,LAL @ DAL,L,97,-21.0
2025-01-07,New Orleans Pelicans,NOP vs. MIN,L,97,-7.0
2025-01-07,Dallas Mavericks,DAL vs. LAL,W,118,21.0
2025-01-07,Denver Nuggets,DEN vs. BOS,L,106,-12.0
2025-01-07,Miami Heat,MIA @ GSW,W,114,16.0
2025-01-07,Washington Wizards,WAS vs. HOU,L,112,-23.0
2025-01-07,Charlotte Hornets,CHA vs. PHX,W,115,11.0
2025-01-07,Utah Jazz,UTA vs. ATL,L,121,-3.0
2025-01-06,Memphis Grizzlies,MEM vs. DAL,W,119,15.0
2025-01-06,Indiana Pacers,IND @ BKN,W,113,14.0
2025-01-06,Brooklyn Nets,BKN vs. IND,L,99,-14.0
2025-01-06,Philadelphia 76ers,PHI vs. PHX,L,99,-10.0
2025-01-06,San Antonio Spurs,SAS @ CHI,L,110,-4.0
2025-01-06,Toronto Raptors,TOR vs. MIL,L,104,-24.0
2025-01-06,New York Knicks,NYK vs. ORL,L,94,-9.0
2025-01-06,Miami Heat,MIA @ SAC,L,118,-5.0
2025-01-06,Minnesota Timberwolves,MIN vs. LAC,W,108,2.0
2025-01-06,LA Clippers,LAC @ MIN,L,106,-2.0
2025-01-06,Sacramento Kings,SAC vs. MIA,W,123,5.0
2025-01-06,Milwaukee Bucks,MIL @ TOR,W,128,24.0
2025-01-06,Phoenix Suns,PHX @ PHI,W,109,10.0
2025-01-06,Detroit Pistons,DET vs. POR,W,118,3.0
2025-01-06,Portland Trail Blazers,POR @ DET,L,115,-3.0
2025-01-06,Orlando Magic,ORL @ NYK,W,103,9.0
2025-01-06,Dallas Mavericks,DAL @ MEM,L,104,-15.0
2025-01-06,Chicago Bulls,CHI vs. SAS,W,114,4.0
2025-01-05,Sacramento Kings,SAC @ GSW,W,129,30.0
2025-01-05,Houston Rockets,HOU vs. LAL,W,119,4.0
2025-01-05,Boston Celtics,BOS @ OKC,L,92,-13.0
2025-01-05,Golden State Warriors,GSW vs. SAC,L,99,-30.0
2025-01-05,Los Angeles Lakers,LAL @ HOU,L,115,-4.0
2025-01-05,Oklahoma City Thunder,OKC vs. BOS,W,105,13.0
2025-01-05,Utah Jazz,UTA @ ORL,W,105,13.0
2025-01-05,Orlando Magic,ORL vs. UTA,L,92,-13.0
2025-01-05,New Orleans Pelicans,NOP @ WAS,W,110,12.0
2025-01-05,Cleveland Cavaliers,CLE vs. CHA,W,115,10.0
2025-01-05,Washington Wizards,WAS vs. NOP,L,98,-12.0
2025-01-05,Charlotte Hornets,CHA @ CLE,L,105,-10.0
2025-01-04,Denver Nuggets,DEN @ SAS,W,122,11.0
2025-01-04,Golden State Warriors,GSW vs. MEM,W,121,8.0
2025-01-04,Portland Trail Blazers,POR @ MIL,W,105,3.0
2025-01-04,Milwaukee Bucks,MIL vs. POR,L,102,-3.0
2025-01-04,Memphis Grizzlies,MEM @ GSW,L,113,-8.0
2025-01-04,Indiana Pacers,IND vs. PHX,W,126,18.0
2025-01-04,Detroit Pistons,DET vs. MIN,W,119,14.0
2025-01-04,Atlanta Hawks,ATL @ LAC,L,105,-26.0
2025-01-04,Utah Jazz,UTA @ MIA,W,136,36.0
2025-01-04,Phoenix Suns,PHX @ IND,L,108,-18.0
2025-01-04,Chicago Bulls,CHI vs. NYK,W,139,13.0
2025-01-04,New York Knicks,NYK @ CHI,L,126,-13.0
2025-01-04,Miami Heat,MIA vs. UTA,L,100,-36.0
2025-01-04,San Antonio Spurs,SAS vs. DEN,L,111,-11.0
2025-01-04,Brooklyn Nets,BKN vs. PHI,L,94,-29.0
2025-01-04,LA Clippers,LAC vs. ATL,W,131,26.0
2025-01-04,Minnesota Timberwolves,MIN @ DET,L,105,-14.0
2025-01-04,Philadelphia 76ers,PHI @ BKN,W,123,29.0
2025-01-03,Boston Celtics,BOS @ HOU,W,109,23.0
2025-01-03,Orlando Magic,ORL @ TOR,W,106,9.0
2025-01-03,Cleveland Cavaliers,CLE @ DAL,W,134,12.0
2025-01-03,New Orleans Pelicans,NOP vs. WAS,W,132,12.0
2025-01-03,New York Knicks,NYK @ OKC,L,107,-10.0
2025-01-03,Detroit Pistons,DET vs. CHA,W,98,4.0
2025-01-03,Sacramento Kings,SAC vs. MEM,W,138,5.0
2025-01-03,Toronto Raptors,TOR vs. ORL,L,97,-9.0
2025-01-03,Los Angeles Lakers,LAL vs. ATL,W,119,17.0
2025-01-03,Oklahoma City Thunder,OKC vs. NYK,W,117,10.0
2025-01-03,Washington Wizards,WAS @ NOP,L,120,-12.0
2025-01-03,Dallas Mavericks,DAL vs. CLE,L,122,-12.0
2025-01-03,Memphis Grizzlies,MEM @ SAC,L,133,-5.0
2025-01-03,Denver Nuggets,DEN vs. SAS,L,110,-3.0
2025-01-03,Charlotte Hornets,CHA @ DET,L,94,-4.0
2025-01-03,San Antonio Spurs,SAS @ DEN,W,113,3.0
2025-01-03,Houston Rockets,HOU vs. BOS,L,86,-23.0
2025-01-03,Atlanta Hawks,ATL @ LAL,L,102,-17.0
2025-01-02,Portland Trail Blazers,POR @ LAL,L,106,-8.0
2025-01-02,Indiana Pacers,IND @ MIA,W,128,13.0
2025-01-02,Minnesota Timberwolves,MIN vs. BOS,L,115,-3.0
2025-01-02,Golden State Warriors,GSW vs. PHI,W,139,34.0
2025-01-02,Milwaukee Bucks,MIL vs. BKN,L,110,-3.0
2025-01-02,Brooklyn Nets,BKN @ MIL,W,113,3.0
2025-01-02,LA Clippers,LAC @ OKC,L,98,-18.0
2025-01-02,Boston Celtics,BOS @ MIN,W,118,3.0
2025-01-02,Philadelphia 76ers,PHI @ GSW,L,105,-34.0
2025-01-02,Los Angeles Lakers,LAL vs. POR,W,114,8.0
2025-01-02,Oklahoma City Thunder,OKC vs. LAC,W,116,18.0
2025-01-02,Miami Heat,MIA vs. IND,L,115,-13.0
2025-01-01,Sacramento Kings,SAC vs. PHI,W,113,6.0
2025-01-01,Detroit Pistons,DET vs. ORL,W,105,9.0
2025-01-01,Brooklyn Nets,BKN @ TOR,L,113,-17.0
2025-01-01,New Orleans Pelicans,NOP @ MIA,L,108,-11.0
2025-01-01,Denver Nuggets,DEN vs. ATL,W,139,19.0
2025-01-01,Chicago Bulls,CHI @ WAS,L,107,-18.0
2025-01-01,Washington Wizards,WAS vs. CHI,W,125,18.0
2025-01-01,Atlanta Hawks,ATL @ DEN,L,120,-19.0
2025-01-01,Philadelphia 76ers,PHI @ SAC,L,107,-6.0
2025-01-01,Miami Heat,MIA vs. NOP,W,119,11.0
2025-01-01,Utah Jazz,UTA @ NYK,L,103,-16.0
2025-01-01,New York Knicks,NYK vs. UTA,W,119,16.0
2025-01-01,Dallas Mavericks,DAL @ HOU,L,99,-11.0
2025-01-01,Orlando Magic,ORL @ DET,L,96,-9.0
2025-01-01,Toronto Raptors,TOR vs. BKN,W,130,17.0
2025-01-01,Houston Rockets,HOU vs. DAL,W,110,11.0
2024-12-31,Toronto Raptors,TOR @ BOS,L,71,-54.0
2024-12-31,Boston Celtics,BOS vs. TOR,W,125,54.0
2024-12-31,Los Angeles Lakers,LAL vs. CLE,L,110,-12.0
2024-12-31,Phoenix Suns,PHX vs. MEM,L,112,-5.0
2024-12-31,Cleveland Cavaliers,CLE @ LAL,W,122,12.0
2024-12-31,LA Clippers,LAC @ SAS,L,86,-36.0
2024-12-31,Memphis Grizzlies,MEM @ PHX,W,117,5.0
2024-12-31,Oklahoma City Thunder,OKC vs. MIN,W,113,8.0
2024-12-31,Milwaukee Bucks,MIL @ IND,W,120,8.0
2024-12-31,San Antonio Spurs,SAS vs. LAC,W,122,36.0
2024-12-31,Minnesota Timberwolves,MIN @ OKC,L,105,-8.0
2024-12-31,Indiana Pacers,IND vs. MIL,L,112,-8.0
2024-12-30,LA Clippers,LAC @ NOP,W,116,3.0
2024-12-30,New Orleans Pelicans,NOP vs. LAC,L,113,-3.0
2024-12-30,Dallas Mavericks,DAL @ SAC,L,100,-10.0
2024-12-30,Chicago Bulls,CHI @ CHA,W,115,7.0
2024-12-30,Sacramento Kings,SAC vs. DAL,W,110,10.0
2024-12-30,Utah Jazz,UTA vs. DEN,L,121,-11.0
2024-12-30,New York Knicks,NYK @ WAS,W,126,20.0
2024-12-30,Denver Nuggets,DEN @ UTA,W,132,11.0
2024-12-30,Cleveland Cavaliers,CLE @ GSW,W,113,18.0
2024-12-30,Philadelphia 76ers,PHI @ POR,W,125,22.0
2024-12-30,Charlotte Hornets,CHA vs. CHI,L,108,-7.0
2024-12-30,Portland Trail Blazers,POR vs. PHI,L,103,-22.0
2024-12-30,Washington Wizards,WAS vs. NYK,L,106,-20.0
2024-12-30,Golden State Warriors,GSW vs. CLE,L,95,-18.0
2024-12-29,Miami Heat,MIA @ HOU,W,104,4.0
2024-12-29,San Antonio Spurs,SAS @ MIN,L,110,-2.0
2024-12-29,Oklahoma City Thunder,OKC vs. MEM,W,130,24.0
2024-12-29,Houston Rockets,HOU vs. MIA,L,100,-4.0
2024-12-29,Brooklyn Nets,BKN @ ORL,L,101,-1.0
2024-12-29,Atlanta Hawks,ATL @ TOR,W,136,29.0
2024-12-29,Minnesota Timberwolves,MIN vs. SAS,W,112,2.0
2024-12-29,Memphis Grizzlies,MEM @ OKC,L,106,-24.0
2024-12-29,Indiana Pacers,IND @ BOS,W,123,9.0
2024-12-29,Toronto Raptors,TOR vs. ATL,L,107,-29.0
2024-12-29,Boston Celtics,BOS vs. IND,L,114,-9.0
2024-12-29,Orlando Magic,ORL vs. BKN,W,102,1.0
2024-12-28,Phoenix Suns,PHX @ GSW,L,105,-4.0
2024-12-28,Chicago Bulls,CHI vs. MIL,W,116,5.0
2024-12-28,Detroit Pistons,DET @ DEN,L,121,-13.0
2024-12-28,Golden State Warriors,GSW vs. PHX,W,109,4.0
2024-12-28,Milwaukee Bucks,MIL @ CHI,L,111,-5.0
2024-12-28,New York Knicks,NYK @ WAS,W,136,4.0
2024-12-28,Denver Nuggets,DEN vs. DET,W,134,13.0
2024-12-28,Miami Heat,MIA @ ATL,L,110,-10.0
2024-12-28,Philadelphia 76ers,PHI @ UTA,W,114,3.0
2024-12-28,Dallas Mavericks,DAL @ POR,L,122,-4.0
2024-12-28,Los Angeles Lakers,LAL vs. SAC,W,132,10.0
2024-12-28,Atlanta Hawks,ATL vs. MIA,W,120,10.0
2024-12-28,Charlotte Hornets,CHA vs. OKC,L,94,-12.0
2024-12-28,Portland Trail Blazers,POR vs. DAL,W,126,4.0
2024-12-28,Washington Wizards,WAS vs. NYK,L,132,-4.0
2024-12-28,Utah Jazz,UTA vs. PHI,L,111,-3.0
2024-12-28,Oklahoma City Thunder,OKC @ CHA,W,106,12.0
2024-12-28,Sacramento Kings,SAC @ LAL,L,122,-10.0
2024-12-27,Indiana Pacers,IND @ BOS,L,105,-37.0
2024-12-27,Boston Celtics,BOS vs. IND,W,142,37.0
2024-12-27,New York Knicks,NYK @ ORL,W,108,23.0
2024-12-27,San Antonio Spurs,SAS @ BKN,W,96,9.0
2024-12-27,Golden State Warriors,GSW @ LAC,L,92,-10.0
2024-12-27,Orlando Magic,ORL vs. NYK,L,85,-23.0
2024-12-27,Minnesota Timberwolves,MIN @ HOU,W,113,1.0
2024-12-27,Phoenix Suns,PHX vs. DAL,L,89,-9.0
2024-12-27,LA Clippers,LAC vs. GSW,W,102,10.0
2024-12-27,Denver Nuggets,DEN vs. CLE,L,135,-14.0
2024-12-27,Memphis Grizzlies,MEM @ NOP,W,132,8.0
2024-12-27,Houston Rockets,HOU vs. MIN,L,112,-1.0
2024-12-27,Brooklyn Nets,BKN vs. SAS,L,87,-9.0
2024-12-27,Cleveland Cavaliers,CLE @ DEN,W,149,14.0
2024-12-27,Dallas Mavericks,DAL @ PHX,W,98,9.0
2024-12-27,New Orleans Pelicans,NOP vs. MEM,L,124,-8.0
2024-12-26,Portland Trail Blazers,POR vs. UTA,W,122,2.0
2024-12-26,Toronto Raptors,TOR @ MEM,L,126,-29.0
2024-12-26,Indiana Pacers,IND vs. OKC,L,114,-6.0
2024-12-26,Sacramento Kings,SAC vs. DET,L,113,-1.0
2024-12-26,Oklahoma City Thunder,OKC @ IND,W,120,6.0
2024-12-26,Washington Wizards,WAS vs. CHA,W,113,3.0
2024-12-26,Milwaukee Bucks,MIL vs. BKN,L,105,-6.0
2024-12-26,Atlanta Hawks,ATL vs. CHI,W,141,8.0
2024-12-26,Memphis Grizzlies,MEM vs. TOR,W,155,29.0
2024-12-26,Brooklyn Nets,BKN @ MIL,W,111,6.0
2024-12-26,Chicago Bulls,CHI @ ATL,L,133,-8.0
2024-12-26,Utah Jazz,UTA @ POR,L,120,-2.0
2024-12-26,Detroit Pistons,DET @ SAC,W,114,1.0
2024-12-26,Orlando Magic,ORL vs. MIA,L,88,-1.0
2024-12-26,Houston Rockets,HOU @ NOP,W,128,17.0
2024-12-26,Charlotte Hornets,CHA @ WAS,L,110,-3.0
2024-12-26,New Orleans Pelicans,NOP vs. HOU,L,111,-17.0
2024-12-26,Miami Heat,MIA @ ORL,W,89,1.0
2024-12-25,Phoenix Suns,PHX vs. DEN,W,110,10.0
2024-12-25,Los Angeles Lakers,LAL @ GSW,W,115,2.0
2024-12-25,Golden State Warriors,GSW vs. LAL,L,113,-2.0
2024-12-25,San Antonio Spurs,SAS @ NYK,L,114,-3.0
2024-12-25,Dallas Mavericks,DAL vs. MIN,L,99,-6.0
2024-12-25,Denver Nuggets,DEN @ PHX,L,100,-10.0
2024-12-25,Minnesota Timberwolves,MIN @ DAL,W,105,6.0
2024-12-25,Philadelphia 76ers,PHI @ BOS,W,118,4.0
2024-12-25,Boston Celtics,BOS vs. PHI,L,114,-4.0
2024-12-25,New York Knicks,NYK vs. SAS,W,117,3.0
2024-12-23,LA Clippers,LAC @ MEM,W,114,4.0
2024-12-23,Golden State Warriors,GSW vs. IND,L,105,-6.0
2024-12-23,Detroit Pistons,DET @ LAL,W,117,3.0
2024-12-23,Portland Trail Blazers,POR @ DAL,L,108,-24.0
2024-12-23,Utah Jazz,UTA @ CLE,L,113,-11.0
2024-12-23,Oklahoma City Thunder,OKC vs. WAS,W,123,18.0
2024-12-23,Atlanta Hawks,ATL vs. MIN,W,117,13.0
2024-12-23,Toronto Raptors,TOR @ NYK,L,125,-14.0
2024-12-23,Miami Heat,MIA vs. BKN,W,110,15.0
2024-12-23,Memphis Grizzlies,MEM vs. LAC,L,110,-4.0
2024-12-23,Los Angeles Lakers,LAL vs. DET,L,114,-3.0
2024-12-23,Washington Wizards,WAS @ OKC,L,105,-18.0
2024-12-23,San Antonio Spurs,SAS @ PHI,L,106,-5.0
2024-12-23,Indiana Pacers,IND @ GSW,W,111,6.0
2024-12-23,New York Knicks,NYK vs. TOR,W,139,14.0
2024-12-23,Brooklyn Nets,BKN @ MIA,L,95,-15.0
2024-12-23,Houston Rockets,HOU @ CHA,W,114,13.0
2024-12-23,Orlando Magic,ORL vs. BOS,W,108,4.0
2024-12-23,Phoenix Suns,PHX @ DEN,L,90,-27.0
2024-12-23,Cleveland Cavaliers,CLE vs. UTA,W,124,11.0
2024-12-23,Chicago Bulls,CHI vs. MIL,L,91,-21.0
2024-12-23,Philadelphia 76ers,PHI vs. SAS,W,111,5.0
2024-12-23,Minnesota Timberwolves,MIN @ ATL,L,104,-13.0
2024-12-23,Boston Celtics,BOS @ ORL,L,104,-4.0
2024-12-23,Denver Nuggets,DEN vs. PHX,W,117,27.0
2024-12-23,Dallas Mavericks,DAL vs. POR,W,132,24.0
2024-12-23,Charlotte Hornets,CHA vs. HOU,L,101,-13.0
2024-12-23,Milwaukee Bucks,MIL @ CHI,W,112,21.0
2024-12-22,Sacramento Kings,SAC vs. IND,L,95,-27.0
2024-12-22,Houston Rockets,HOU @ TOR,W,114,4.0
2024-12-22,New Orleans Pelicans,NOP vs. DEN,L,129,-3.0
2024-12-22,Denver Nuggets,DEN @ NOP,W,132,3.0
2024-12-22,Toronto Raptors,TOR vs. HOU,L,110,-4.0
2024-12-22,Indiana Pacers,IND @ SAC,W,122,27.0
2024-12-21,Philadelphia 76ers,PHI @ CLE,L,99,-27.0
2024-12-21,Phoenix Suns,PHX vs. DET,L,125,-8.0
2024-12-21,Detroit Pistons,DET @ PHX,W,133,8.0
2024-12-21,Washington Wizards,WAS @ MIL,L,101,-11.0
2024-12-21,Brooklyn Nets,BKN vs. UTA,L,94,-11.0
2024-12-21,Minnesota Timberwolves,MIN vs. GSW,L,103,-10.0
2024-12-21,LA Clippers,LAC @ DAL,L,97,-16.0
2024-12-21,Sacramento Kings,SAC vs. LAL,L,99,-4.0
2024-12-21,Utah Jazz,UTA @ BKN,W,105,11.0
2024-12-21,Cleveland Cavaliers,CLE vs. PHI,W,126,27.0
2024-12-21,Orlando Magic,ORL vs. MIA,W,121,7.0
2024-12-21,Memphis Grizzlies,MEM @ ATL,W,128,16.0
2024-12-21,Milwaukee Bucks,MIL vs. WAS,W,112,11.0
2024-12-21,Miami Heat,MIA @ ORL,L,114,-7.0
2024-12-21,Los Angeles Lakers,LAL @ SAC,W,103,4.0
2024-12-21,San Antonio Spurs,SAS vs. POR,W,114,20.0
2024-12-21,New York Knicks,NYK @ NOP,W,104,11.0
2024-12-21,Dallas Mavericks,DAL vs. LAC,W,113,16.0
2024-12-21,Golden State Warriors,GSW @ MIN,W,113,10.0
2024-12-21,Boston Celtics,BOS @ CHI,W,123,25.0
2024-12-21,Atlanta Hawks,ATL vs. MEM,L,112,-16.0
2024-12-21,New Orleans Pelicans,NOP vs. NYK,L,93,-11.0
2024-12-21,Chicago Bulls,CHI vs. BOS,L,98,-25.0
2024-12-21,Portland Trail Blazers,POR @ SAS,L,94,-20.0
2024-12-20,Miami Heat,MIA vs. OKC,L,97,-7.0
2024-12-20,Milwaukee Bucks,MIL @ CLE,L,101,-23.0
2024-12-20,Philadelphia 76ers,PHI vs. CHA,W,108,10.0
2024-12-20,Cleveland Cavaliers,CLE vs. MIL,W,124,23.0
2024-12-20,Oklahoma City Thunder,OKC @ MIA,W,104,7.0
2024-12-20,Charlotte Hornets,CHA @ PHI,L,98,-10.0
2024-12-19,Houston Rockets,HOU vs. NOP,W,133,20.0
2024-12-19,Phoenix Suns,PHX vs. IND,L,111,-9.0
2024-12-19,Detroit Pistons,DET vs. UTA,L,119,-7.0
2024-12-19,Orlando Magic,ORL vs. OKC,L,99,-6.0
2024-12-19,Golden State Warriors,GSW @ MEM,L,93,-51.0
2024-12-19,Los Angeles Lakers,LAL @ SAC,W,113,13.0
2024-12-19,Portland Trail Blazers,POR vs. DEN,W,126,2.0
2024-12-19,LA Clippers,LAC @ DAL,W,118,23.0
2024-12-19,Indiana Pacers,IND @ PHX,W,120,9.0
2024-12-19,Oklahoma City Thunder,OKC @ ORL,W,105,6.0
2024-12-19,Denver Nuggets,DEN @ POR,L,124,-2.0
2024-12-19,Chicago Bulls,CHI @ BOS,W,117,9.0
2024-12-19,Atlanta Hawks,ATL @ SAS,L,126,-7.0
2024-12-19,Sacramento Kings,SAC vs. LAL,L,100,-13.0
2024-12-19,Charlotte Hornets,CHA @ WAS,L,114,-9.0
2024-12-19,New Orleans Pelicans,NOP @ HOU,L,113,-20.0
2024-12-19,San Antonio Spurs,SAS vs. ATL,W,133,7.0
2024-12-19,New York Knicks,NYK @ MIN,W,133,26.0
2024-12-19,Minnesota Timberwolves,MIN vs. NYK,L,107,-26.0
2024-12-19,Brooklyn Nets,BKN @ TOR,W,101,7.0
2024-12-19,Utah Jazz,UTA @ DET,W,126,7.0
2024-12-19,Washington Wizards,WAS vs. CHA,W,123,9.0
2024-12-19,Toronto Raptors,TOR vs. BKN,L,94,-7.0
2024-12-19,Boston Celtics,BOS vs. CHI,L,108,-9.0
2024-12-19,Memphis Grizzlies,MEM vs. GSW,W,144,51.0
2024-12-19,Dallas Mavericks,DAL vs. LAC,L,95,-23.0
2024-12-17,Oklahoma City Thunder,MIL @ OKC,L,81,-16.0
2024-12-17,Milwaukee Bucks,MIL @ OKC,W,97,16.0
2024-12-16,Toronto Raptors,TOR vs. CHI,L,121,-1.0
2024-12-16,Miami Heat,MIA @ DET,L,124,-1.0
2024-12-16,Detroit Pistons,DET vs. MIA,W,125,1.0
2024-12-16,Utah Jazz,UTA @ LAC,L,107,-37.0
2024-12-16,Brooklyn Nets,BKN vs. CLE,L,101,-29.0
2024-12-16,Sacramento Kings,SAC vs. DEN,L,129,-1.0
2024-12-16,Charlotte Hornets,CHA vs. PHI,L,108,-13.0
2024-12-16,Philadelphia 76ers,PHI @ CHA,W,121,13.0
2024-12-16,Denver Nuggets,DEN @ SAC,W,130,1.0
2024-12-16,Chicago Bulls,CHI @ TOR,W,122,1.0
2024-12-16,Cleveland Cavaliers,CLE @ BKN,W,130,29.0
2024-12-16,LA Clippers,LAC vs. UTA,W,144,37.0
2024-12-15,Boston Celtics,BOS @ WAS,W,112,14.0
2024-12-15,San Antonio Spurs,SAS vs. MIN,L,92,-14.0
2024-12-15,Los Angeles Lakers,LAL vs. MEM,W,116,6.0
2024-12-15,Memphis Grizzlies,MEM @ LAL,L,110,-6.0
2024-12-15,Minnesota Timberwolves,MIN @ SAS,W,106,14.0
2024-12-15,Indiana Pacers,IND vs. NOP,W,119,15.0
2024-12-15,New Orleans Pelicans,NOP @ IND,L,104,-15.0
2024-12-15,New York Knicks,NYK @ ORL,W,100,9.0
2024-12-15,Golden State Warriors,GSW vs. DAL,L,133,-10.0
2024-12-15,Washington Wizards,WAS vs. BOS,L,98,-14.0
2024-12-15,Portland Trail Blazers,POR @ PHX,L,109,-7.0
2024-12-15,Phoenix Suns,PHX vs. POR,W,116,7.0
2024-12-15,Dallas Mavericks,DAL @ GSW,W,143,10.0
2024-12-15,Orlando Magic,ORL vs. NYK,L,91,-9.0
2024-12-14,Oklahoma City Thunder,HOU @ OKC,W,111,15.0
2024-12-14,Atlanta Hawks,ATL @ MIL,L,102,-8.0
2024-12-14,Milwaukee Bucks,ATL @ MIL,W,110,8.0
2024-12-14,Houston Rockets,HOU @ OKC,L,96,-15.0
2024-12-13,Phoenix Suns,PHX @ UTA,W,134,8.0
2024-12-13,Utah Jazz,UTA vs. PHX,L,126,-8.0
2024-12-13,Denver Nuggets,DEN vs. LAC,W,120,22.0
2024-12-13,Washington Wizards,WAS @ CLE,L,105,-10.0
2024-12-13,LA Clippers,LAC @ DEN,L,98,-22.0
2024-12-13,Chicago Bulls,CHI vs. CHA,W,109,14.0
2024-12-13,Philadelphia 76ers,PHI vs. IND,L,107,-14.0
2024-12-13,Brooklyn Nets,BKN @ MEM,L,119,-16.0
2024-12-13,Charlotte Hornets,CHA @ CHI,L,95,-14.0
